dataset_id,cell_id,protocol_id,segment_id,time_s,current_raw_A,current_discharge_A,voltage_V,reference_temperature_K,surface_temperature_K,core_temperature_K,data_kind,source_id
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,34000,-0.625,0.625,3.69607219,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,35000,-0.625,0.625,3.68859376,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,36000,-0.625,0.625,3.68169059,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,37000,-0.625,0.625,3.67517093,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,38000,-0.625,0.625,3.66922653,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,39000,-0.625,0.625,3.66309038,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,40000,-0.625,0.625,3.65752958,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,41000,-0.625,0.625,3.65235212,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,42000,-0.625,0.625,3.64717474,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,43000,-0.625,0.625,3.64257263,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,44000,-0.625,0.625,3.637587,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,45000,-0.625,0.625,3.63298489,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,46000,-0.625,0.625,3.62819102,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,47000,-0.625,0.625,3.62339716,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,48000,-0.625,0.625,3.61879504,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,49000,-0.625,0.625,3.61380942,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,50000,-0.625,0.625,3.6088238,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,51000,-0.625,0.625,3.60345467,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,52000,-0.625,0.625,3.59770202,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,53000,-0.625,0.625,3.59175763,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,54000,-0.625,0.625,3.58542972,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,55000,-0.625,0.625,3.57891014,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,56000,-0.625,0.625,3.57200689,298.15,,,source_embedded_reference_curve,S01
